Sample:float,Data:float
"115200.0","-9.1552734375E-4"
"115201.0","-9.1552734375E-4"
"115202.0","-0.00140380859375"
"115203.0","-9.1552734375E-4"
"115204.0","-0.00140380859375"
"115205.0","-0.00140380859375"
"115206.0","-9.1552734375E-4"
"115207.0","-0.00189208984375"
"115208.0","-9.1552734375E-4"
"115209.0","-0.00140380859375"
"115210.0","-4.2724609375E-4"
"115211.0","-9.1552734375E-4"
"115212.0","-9.1552734375E-4"
"115213.0","-9.1552734375E-4"
"115214.0","-9.1552734375E-4"
"115215.0","-9.1552734375E-4"
"115216.0","6.103515625E-5"
"115217.0","-9.1552734375E-4"
"115218.0","-9.1552734375E-4"
"115219.0","-4.2724609375E-4"
"115220.0","-4.2724609375E-4"
"115221.0","-4.2724609375E-4"
"115222.0","-4.2724609375E-4"
"115223.0","-9.1552734375E-4"
"115224.0","-9.1552734375E-4"
"115225.0","-4.2724609375E-4"
"115226.0","-0.11712646484375"
"115227.0","-0.10540771484375"
"115228.0","-0.10345458984375"
"115229.0","-0.10345458984375"
"115230.0","-0.10101318359375"
"115231.0","-0.09954833984375"
"115232.0","-0.09857177734375"
"115233.0","-0.09808349609375"
"115234.0","-0.09564208984375"
"115235.0","-0.09661865234375"
"115236.0","-0.09710693359375"
"115237.0","-0.09661865234375"
"115238.0","-0.09710693359375"
"115239.0","-0.09710693359375"
"115240.0","-0.09710693359375"
"115241.0","-0.09808349609375"
"115242.0","-0.09808349609375"
"115243.0","-0.09808349609375"
"115244.0","-0.09906005859375"
"115245.0","-0.10150146484375"
"115246.0","-0.10198974609375"
"115247.0","-0.10198974609375"
"115248.0","-0.10296630859375"
"115249.0","-0.10443115234375"
"115250.0","-0.10638427734375"
"115251.0","-0.10784912109375"
"115252.0","-0.11077880859375"
"115253.0","-0.11273193359375"
"115254.0","-0.11761474609375"
"115255.0","-0.10833740234375"
"115256.0","-0.10736083984375"
"115257.0","-0.10638427734375"
"115258.0","-0.10589599609375"
"115259.0","-0.10394287109375"
"115260.0","-0.10296630859375"
"115261.0","-0.10247802734375"
"115262.0","-0.10101318359375"
"115263.0","-0.09954833984375"
"115264.0","-0.09954833984375"
"115265.0","-0.09906005859375"
"115266.0","-0.09906005859375"
"115267.0","-0.10003662109375"
"115268.0","-0.10101318359375"
"115269.0","-0.10052490234375"
"115270.0","-0.10101318359375"
