Sample:float,Data:float,Data2:float
"30000.0","0.117919921875","0.00439453125"
"30001.0","0.117919921875","0.004425048828125"
"30002.0","0.117919921875","0.004364013671875"
"30003.0","0.117919921875","0.004364013671875"
"30004.0","0.117919921875","0.004180908203125"
"30005.0","0.117919921875","0.004425048828125"
"30006.0","0.117919921875","0.004180908203125"
"30007.0","0.117919921875","0.00408935546875"
"30008.0","0.117919921875","0.004364013671875"
"30009.0","0.117919921875","0.004302978515625"
"30010.0","0.117919921875","0.004150390625"
"30011.0","0.117919921875","0.004180908203125"
"30012.0","0.117919921875","0.0042724609375"
"30013.0","0.117919921875","0.004364013671875"
"30014.0","0.117919921875","0.004302978515625"
"30015.0","0.117919921875","0.00421142578125"
"30016.0","0.117919921875","0.004150390625"
"30017.0","0.115997314453125","0.00433349609375"
"30018.0","0.115997314453125","0.003936767578125"
"30019.0","0.115997314453125","0.00408935546875"
"30020.0","0.115997314453125","0.004425048828125"
"30021.0","0.115997314453125","0.004180908203125"
"30022.0","0.115997314453125","0.004241943359375"
"30023.0","0.115997314453125","0.0042724609375"
"30024.0","0.115997314453125","0.004425048828125"
"30025.0","0.115997314453125","0.00408935546875"
"30026.0","0.115997314453125","0.00445556640625"
"30027.0","0.115997314453125","0.004150390625"
"30028.0","0.115997314453125","0.004302978515625"
"30029.0","0.115997314453125","0.00433349609375"
"30030.0","0.115997314453125","0.004180908203125"
"30031.0","0.115997314453125","0.004547119140625"
"30032.0","0.115997314453125","0.004302978515625"
"30033.0","0.115997314453125","0.00433349609375"
"30034.0","0.117919921875","0.004425048828125"
"30035.0","0.117919921875","0.00433349609375"
"30036.0","0.117919921875","0.00445556640625"
"30037.0","0.117919921875","0.004486083984375"
"30038.0","0.117919921875","0.004119873046875"
"30039.0","0.117919921875","0.004364013671875"
"30040.0","0.117919921875","0.004302978515625"
"30041.0","0.117919921875","0.004180908203125"
"30042.0","0.117919921875","0.00439453125"
"30043.0","0.117919921875","0.004302978515625"
"30044.0","0.117919921875","0.0042724609375"
"30045.0","0.117919921875","0.0040283203125"
"30046.0","0.117919921875","0.0042724609375"
"30047.0","0.117919921875","0.004241943359375"
"30048.0","0.117919921875","0.00433349609375"
"30049.0","0.117919921875","0.00408935546875"
"30050.0","0.117919921875","0.0042724609375"
"30051.0","0.115997314453125","0.004302978515625"
"30052.0","0.115997314453125","0.004150390625"
"30053.0","0.115997314453125","0.004058837890625"
"30054.0","0.115997314453125","0.004302978515625"
