Sample:float,Data2:float
"400.0","0.0028076171875"
"401.0","0.003265380859375"
"402.0","0.002960205078125"
"403.0","0.00299072265625"
"404.0","0.003143310546875"
"405.0","0.00311279296875"
"406.0","0.0030517578125"
"407.0","0.00323486328125"
"408.0","0.002716064453125"
"409.0","0.0032958984375"
"410.0","0.00299072265625"
"411.0","0.003173828125"
"412.0","0.00323486328125"
"413.0","0.00335693359375"
"414.0","0.0029296875"
"415.0","0.002899169921875"
"416.0","0.0032958984375"
"417.0","0.003204345703125"
"418.0","0.002777099609375"
"419.0","0.003265380859375"
"420.0","0.003173828125"
"421.0","0.002960205078125"
"422.0","0.003204345703125"
"423.0","0.003265380859375"
"424.0","0.003143310546875"
"425.0","0.003021240234375"
"426.0","0.00323486328125"
"427.0","0.003143310546875"
"428.0","0.003082275390625"
"429.0","0.003204345703125"
"430.0","0.003204345703125"
"431.0","0.00311279296875"
"432.0","0.003204345703125"
"433.0","0.00323486328125"
"434.0","0.00286865234375"
"435.0","0.003265380859375"
"436.0","0.00311279296875"
"437.0","0.00299072265625"
"438.0","0.003143310546875"
"439.0","0.003143310546875"
"440.0","0.003143310546875"
"441.0","0.0030517578125"
"442.0","0.0030517578125"
"443.0","0.003082275390625"
"444.0","0.003082275390625"
"445.0","0.0030517578125"
"446.0","0.00299072265625"
"447.0","0.00311279296875"
"448.0","0.00299072265625"
"449.0","0.00311279296875"
"450.0","0.00323486328125"
"451.0","0.00311279296875"
"452.0","0.0029296875"
"453.0","0.003143310546875"
"454.0","0.003021240234375"
"455.0","0.0029296875"
"456.0","0.00299072265625"
"457.0","0.003143310546875"
"458.0","0.002899169921875"
"459.0","0.003143310546875"
"460.0","0.003173828125"
"461.0","0.003143310546875"
"462.0","0.00299072265625"
"463.0","0.003173828125"
"464.0","0.0030517578125"
"465.0","0.003021240234375"
"466.0","0.003082275390625"
"467.0","0.003204345703125"
"468.0","0.003204345703125"
"469.0","0.003082275390625"
"470.0","0.003143310546875"
"471.0","0.003021240234375"
"472.0","0.00299072265625"
"473.0","0.003143310546875"
"474.0","0.002899169921875"
"475.0","0.003265380859375"
"476.0","0.0030517578125"
"477.0","0.00299072265625"
"478.0","0.003204345703125"
"479.0","0.003173828125"
"480.0","0.00323486328125"
"481.0","0.003082275390625"
"482.0","0.003173828125"
"483.0","0.00299072265625"
"484.0","0.003265380859375"
"485.0","0.0030517578125"
"486.0","0.003173828125"
"487.0","0.00335693359375"
"488.0","0.00311279296875"
"489.0","0.00311279296875"
"490.0","0.003173828125"
"491.0","0.002960205078125"
"492.0","0.00323486328125"
"493.0","0.002960205078125"
"494.0","0.003082275390625"
"495.0","0.003143310546875"
"496.0","0.003021240234375"
"497.0","0.003143310546875"
"498.0","0.00311279296875"
"499.0","0.00299072265625"
"500.0","0.0030517578125"
"501.0","0.00299072265625"
"502.0","0.003143310546875"
"503.0","0.003143310546875"
"504.0","0.003143310546875"
"505.0","0.003082275390625"
"506.0","0.003082275390625"
"507.0","0.0030517578125"
"508.0","0.002960205078125"
"509.0","0.002960205078125"
"510.0","0.003082275390625"
"511.0","0.003082275390625"
"512.0","0.0029296875"
"513.0","0.00299072265625"
"514.0","0.00299072265625"
"515.0","0.003173828125"
"516.0","0.003143310546875"
"517.0","0.003021240234375"
